# venue: binance
# source: https://fapi.binance.com/fapi/v1/fundingRate
# fetched_at: 2026-08-10T17:53:40Z
# caveat: Historical funding from the source venue (public, free). Cross-venue proxy for Coinbase-INTX funding; rates correlate but are not identical. ts=epoch seconds UTC. OI not available historically.
ts,coin,venue,funding_rate,funding_annualized,mark_price,open_interest,source
1715443200,ARB,binance,0.0001,0.1095,1.0064,,https://fapi.binance.com/fapi/v1/fundingRate
1715472000,ARB,binance,0.0001,0.1095,1.00018204,,https://fapi.binance.com/fapi/v1/fundingRate
1715500800,ARB,binance,9.772e-05,0.10700340000000001,0.9963,,https://fapi.binance.com/fapi/v1/fundingRate
1715529600,ARB,binance,0.0001,0.1095,1.0078,,https://fapi.binance.com/fapi/v1/fundingRate
1715558400,ARB,binance,5.136e-05,0.0562392,0.9969,,https://fapi.binance.com/fapi/v1/fundingRate
1715587200,ARB,binance,7.952e-05,0.0870744,0.9928,,https://fapi.binance.com/fapi/v1/fundingRate
1715616000,ARB,binance,9.825e-05,0.10758375,0.9934,,https://fapi.binance.com/fapi/v1/fundingRate
1715644800,ARB,binance,7.099e-05,0.07773405,0.98120284,,https://fapi.binance.com/fapi/v1/fundingRate
1715673600,ARB,binance,0.0001,0.1095,0.97721112,,https://fapi.binance.com/fapi/v1/fundingRate
1715702400,ARB,binance,2.82e-05,0.030879,0.9582218,,https://fapi.binance.com/fapi/v1/fundingRate
1715731200,ARB,binance,9.624e-05,0.1053828,0.9349,,https://fapi.binance.com/fapi/v1/fundingRate
1715760000,ARB,binance,1.792e-05,0.0196224,0.94066199,,https://fapi.binance.com/fapi/v1/fundingRate
1715788800,ARB,binance,8.11e-05,0.08880450000000001,0.9811,,https://fapi.binance.com/fapi/v1/fundingRate
1715817600,ARB,binance,8.692e-05,0.0951774,0.99331208,,https://fapi.binance.com/fapi/v1/fundingRate
1715846400,ARB,binance,0.0001,0.1095,0.9961,,https://fapi.binance.com/fapi/v1/fundingRate
1715875200,ARB,binance,0.0001,0.1095,0.96457462,,https://fapi.binance.com/fapi/v1/fundingRate
1715904000,ARB,binance,0.0001,0.1095,0.97105577,,https://fapi.binance.com/fapi/v1/fundingRate
1715932800,ARB,binance,0.0001,0.1095,1.00385924,,https://fapi.binance.com/fapi/v1/fundingRate
1715961600,ARB,binance,0.0001,0.1095,1.05514053,,https://fapi.binance.com/fapi/v1/fundingRate
1715990400,ARB,binance,0.0001,0.1095,1.0301,,https://fapi.binance.com/fapi/v1/fundingRate
